S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,394.00,396.00,386.00,388.00,389.53,"94,677.00",388.00,"36,879,424.00",159,0.00,10.00,0.00,2.59,-0.39,410.00,290.00
2,BOKL,-,279.00,279.00,276.00,276.00,277.10,"15,299.00",280.00,"4,239,339.00",68,-4.00,3.00,-1.43,1.09,-0.40,350.00,231.00
3,CBL,-,154.00,154.00,150.00,152.00,150.97,"77,038.00",152.00,"11,630,358.00",131,0.00,4.00,0.00,2.67,0.68,188.00,141.00
4,CCBL,-,177.00,177.00,174.00,176.00,175.48,"23,024.00",177.00,"4,040,160.00",97,-1.00,3.00,-0.56,1.72,0.30,203.00,155.00
5,CZBIL,-,225.00,227.00,224.00,224.00,225.17,"15,486.00",225.00,"3,486,916.00",69,-1.00,3.00,-0.44,1.34,-0.52,275.00,199.00
6,EBL,-,670.00,670.00,655.00,665.00,662.79,"6,560.00",666.00,"4,347,916.00",52,-1.00,15.00,-0.15,2.29,0.33,789.00,501.00
7,GBIME,-,314.00,314.00,309.00,310.00,310.44,"33,941.00",314.00,"10,536,534.00",101,-4.00,5.00,-1.27,1.62,-0.14,336.00,255.00
8,HBL,-,580.00,586.00,578.00,578.00,581.70,"5,208.00",585.00,"3,029,477.00",33,-7.00,8.00,-1.20,1.38,-0.64,620.00,418.00
9,KBL,-,225.00,226.00,223.00,223.00,223.90,"9,546.00",225.00,"2,137,364.00",55,-2.00,3.00,-0.89,1.35,-0.40,269.00,187.00
10,LBL,-,230.00,230.00,225.00,229.00,226.63,"17,620.00",227.00,"3,993,168.00",65,2.00,5.00,0.88,2.22,1.04,292.00,182.00
11,MBL,-,266.00,268.00,263.00,266.00,266.42,"20,098.00",268.00,"5,354,578.00",60,-2.00,5.00,-0.75,1.90,-0.16,282.00,200.00
12,MEGA,-,193.00,196.00,193.00,193.00,194.32,"91,734.00",195.00,"17,825,996.00",235,-2.00,3.00,-1.03,1.55,-0.69,306.00,150.00
13,NABIL,-,862.00,862.00,838.00,841.00,842.91,"2,950.00",846.00,"2,486,583.00",44,-5.00,24.00,-0.59,2.86,-0.23,"1,022.00",678.00
14,NBB,-,230.00,233.00,227.00,228.00,227.80,"19,881.00",231.00,"4,528,922.00",67,-3.00,6.00,-1.30,2.64,0.09,242.00,178.00
15,NBL,-,310.00,312.00,309.00,312.00,310.58,"79,325.00",313.00,"24,636,630.00",158,-1.00,3.00,-0.32,0.97,0.46,360.00,280.00
16,NCCB,-,248.00,250.00,246.00,246.00,247.95,"126,282.00",247.00,"31,312,142.00",268,-1.00,4.00,-0.40,1.63,-0.79,286.00,172.00
17,NIB,-,556.00,564.00,545.00,562.00,554.53,"19,002.00",562.00,"10,537,096.00",104,0.00,19.00,0.00,3.49,1.33,684.00,499.00
18,NICA,-,493.00,493.00,487.00,488.00,489.58,"25,211.00",493.00,"12,342,681.00",116,-5.00,6.00,-1.01,1.23,-0.32,515.00,304.00
19,NMB,-,384.00,385.00,376.00,380.00,382.06,"98,484.00",383.00,"37,627,164.00",159,-3.00,9.00,-0.78,2.39,-0.54,471.00,300.00
20,PCBL,-,360.00,360.00,353.00,355.00,355.21,"30,210.00",354.00,"10,730,939.00",127,1.00,7.00,0.28,1.98,-0.06,370.00,273.00
21,PRVU,-,281.00,285.00,280.00,281.00,281.12,"50,879.00",283.00,"14,303,271.00",139,-2.00,5.00,-0.71,1.79,-0.04,304.00,175.00
22,SANIMA,-,360.00,360.00,356.00,356.00,357.32,"14,608.00",356.00,"5,219,802.00",73,0.00,4.00,0.00,1.12,-0.37,370.00,286.00
23,SBI,-,484.00,487.00,483.00,483.00,484.37,"7,530.00",492.00,"3,647,313.00",43,-9.00,4.00,-1.83,0.83,-0.28,570.00,366.00
24,SBL,-,345.00,345.00,342.00,342.00,342.70,"10,702.00",345.00,"3,667,603.00",42,-3.00,3.00,-0.87,0.88,-0.21,361.00,272.00
25,SCB,-,710.00,710.00,686.00,690.00,692.94,"8,193.00",704.00,"5,677,218.00",75,-14.00,24.00,-1.99,3.50,-0.43,833.00,520.00
26,SRBL,-,255.00,255.00,252.00,253.00,253.45,"12,919.00",256.00,"3,274,332.00",50,-3.00,3.00,-1.17,1.19,-0.18,277.00,203.00
