S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ADBL,49.54,441.00,449.00,435.00,445.00,442.51,"86,938.00",441.00,"38,471,331.00",617,4.00,14.00,0.91,3.22,0.56,465.85,444.05,576.00,313.00
2,BOKL,51.40,300.00,314.00,296.00,309.00,307.29,"229,017.00",298.00,"70,375,043.00",718,11.00,18.00,3.69,6.08,0.55,276.78,260.49,344.00,196.00
3,CBL,45.71,225.00,240.00,225.00,235.00,233.15,"189,273.00",230.00,"44,129,565.00",722,5.00,15.00,2.17,6.67,0.79,187.86,172.87,276.00,125.00
4,CCBL,45.53,262.00,262.00,247.00,256.00,253.93,"160,586.00",250.00,"40,777,290.00",492,6.00,15.00,2.40,6.07,0.81,209.28,196.62,298.00,136.00
5,CZBIL,48.99,284.00,308.00,284.00,306.00,302.64,"195,425.00",298.00,"59,143,569.00",678,8.00,24.00,2.68,8.45,1.10,250.94,231.87,333.00,164.00
6,EBL,47.56,781.00,799.00,768.00,789.00,784.18,"71,567.00",781.00,"56,121,331.00",485,8.00,31.00,1.02,4.04,0.61,739.92,726.42,932.00,520.00
7,GBIME,48.24,438.00,451.00,427.00,448.00,442.28,"521,116.00",438.00,"230,476,988.00","2,331",10.00,24.00,2.28,5.62,1.28,329.93,304.93,522.00,211.00
8,HBL,45.48,535.00,548.00,528.00,540.00,539.77,"10,822.00",535.00,"5,841,441.00",117,5.00,20.00,0.93,3.79,0.04,584.11,571.52,749.00,452.00
9,KBL,49.48,299.00,313.00,296.00,307.00,303.77,"352,953.00",298.00,"107,217,922.00","1,160",9.00,17.00,3.02,5.74,1.05,250.85,230.66,330.00,153.00
10,LBL,47.12,290.00,300.00,286.00,295.00,292.59,"110,587.00",291.00,"32,356,452.00",361,4.00,14.00,1.37,4.90,0.82,271.72,255.57,331.00,184.00
11,MBL,47.03,301.00,321.00,298.00,308.00,307.48,"100,710.00",304.00,"30,965,831.00",319,4.00,23.00,1.32,7.72,0.17,256.27,247.21,352.00,199.00
12,MEGA,51.39,283.00,306.00,283.00,305.00,301.06,"265,287.00",297.00,"79,866,228.00","1,125",8.00,23.00,2.69,8.13,1.29,260.99,247.23,338.00,182.00
13,NABIL,48.61,"1,259.00","1,315.00","1,259.00","1,314.00","1,301.72","102,909.00","1,296.00","133,958,190.00",810,18.00,56.00,1.39,4.45,0.93,"1,058.43",971.25,"1,550.00",594.00
14,NBB,47.51,320.00,320.00,298.00,309.00,308.17,"167,550.00",306.00,"51,634,080.00",633,3.00,22.00,0.98,7.38,0.27,257.09,238.83,343.00,169.00
15,NBL,52.46,469.00,469.00,435.00,455.00,451.18,"449,402.00",447.00,"202,763,217.00",992,8.00,34.00,1.79,7.82,0.84,364.43,331.49,491.00,214.00
16,NCCB,53.30,299.00,319.00,299.00,315.00,314.22,"96,670.00",314.00,"30,375,372.00",397,1.00,20.00,0.32,6.69,0.25,277.94,249.26,385.00,163.00
17,NIB,45.99,471.00,472.00,452.00,466.00,463.51,"50,123.00",462.00,"23,232,590.00",384,4.00,20.00,0.87,4.42,0.53,456.68,447.56,557.00,335.00
18,NICA,47.73,927.00,927.00,861.00,892.00,890.01,"202,862.00",883.00,"180,548,802.00",971,9.00,66.00,1.02,7.67,0.22,727.71,668.29,"1,000.00",422.00
19,NMB,46.88,450.00,450.00,422.00,435.00,433.33,"162,226.00",430.00,"70,297,566.00",755,5.00,28.00,1.16,6.64,0.38,430.80,424.31,517.00,321.00
20,PCBL,45.70,444.00,446.00,429.00,443.00,440.73,"105,401.00",436.00,"46,453,757.00",526,7.00,17.00,1.61,3.96,0.51,378.83,342.83,495.00,219.19
21,PRVU,46.79,469.00,469.00,440.00,456.00,452.19,"289,913.00",447.00,"131,094,999.00","1,216",9.00,29.00,2.01,6.59,0.84,339.65,304.44,514.00,195.00
22,SANIMA,48.72,364.00,372.00,358.00,368.00,365.35,"175,545.00",364.00,"64,134,938.00",617,4.00,14.00,1.10,3.91,0.72,341.84,342.29,436.00,287.00
23,SBI,44.89,415.00,425.00,415.00,422.00,420.90,"23,508.00",420.00,"9,894,480.00",141,2.00,10.00,0.48,2.41,0.26,428.43,428.72,583.00,373.00
24,SBL,51.08,410.00,413.00,392.00,411.00,404.59,"162,762.00",398.00,"65,851,960.00",421,13.00,21.00,3.27,5.36,1.56,362.58,341.83,479.00,252.00
25,SCB,49.80,629.00,629.00,610.00,616.00,616.48,"48,763.00",618.00,"30,061,270.00",538,-2.00,19.00,-0.32,3.11,-0.08,650.20,648.11,850.00,505.00
26,SRBL,45.59,320.00,320.00,300.00,309.00,307.54,"101,081.00",305.00,"31,086,513.00",409,4.00,20.00,1.31,6.67,0.47,264.80,255.01,367.00,201.00
